id,value
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia,34
cellular organisms@Bacteria@Fusobacteria@Fusobacteriia@Fusobacteriales@Fusobacteriaceae,2
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria,3
cellular organisms@Eukaryota@Arthropoda@Branchiopoda@Diplostraca@Daphniidae@Daphnia,1
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales@Coriobacteriaceae@Collinsella@Collinsella intestinalis,1
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Burkholderiales@Sutterellaceae@Parasutterella,1
cellular organisms@Bacteria@Firmicutes@Negativicutes@Veillonellales,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus,388
cellular organisms@Bacteria@Actinobacteria,860
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Corynebacteriales@Mycobacteriaceae@Mycobacterium@Mycobacterium bohemicum,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Coprococcus,138
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Coprococcus@Coprococcus comes,20
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium@[Eubacterium] cellulosolvens,1
cellular organisms@Bacteria@Firmicutes@Negativicutes@Veillonellales@Veillonellaceae@Megasphaera,1
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Eggerthellales,49
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Lachnoclostridium@[Clostridium] clostridioforme,1
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales,160
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Cellulosilyticum@Cellulosilyticum lentocellum,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales,601
cellular organisms@Bacteria@Firmicutes@Negativicutes@Selenomonadales,3
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales,75
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptostreptococcaceae@Terrisporobacter,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Marvinbryantia,3
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Lactobacillaceae@Lactobacillus,2
cellular organisms@Bacteria@Firmicutes,4445
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae,810
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Subdoligranulum,14
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Cellulosilyticum,1
cellular organisms@Bacteria@Fusobacteria@Fusobacteriia@Fusobacteriales,2
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales@Coriobacteriaceae@Collinsella@Collinsella aerofaciens,91
cellular organisms@Bacteria@Chloroflexi,1
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Parabacteroides,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Roseburia@Roseburia inulinivorans,2
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Lactobacillaceae,2
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Burkholderiales,3
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales,1
cellular organisms@Bacteria@Proteobacteria@Betaproteobacteria@Burkholderiales@Burkholderiaceae,1
cellular organisms@Eukaryota@Arthropoda@Branchiopoda,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Faecalibacterium,181
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Robinsoniella@Robinsoniella sp. RHS,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Dorea@Dorea longicatena,19
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium,146
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiales Family XIII. Incertae Sedis,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Anaerotruncus,1
cellular organisms@Eukaryota@Arthropoda@Branchiopoda@Diplostraca@Daphniidae@Daphnia@Daphnia magna,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Butyricicoccus@Butyricicoccus pullicaecorum,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminococcus@Ruminococcus bicirculans,1
cellular organisms@Bacteria@Proteobacteria@Gammaproteobacteria@Aeromonadales@Succinivibrionaceae,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Corynebacteriales@Mycobacteriaceae,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Corynebacteriales@Corynebacteriaceae,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Corynebacteriales@Corynebacteriaceae@Corynebacterium,1
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Bacteroidaceae@Bacteroides@Bacteroides finegoldii,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Blautia@Blautia obeum,65
cellular organisms@Bacteria@Firmicutes@Erysipelotrichia@Erysipelotrichales@Erysipelotrichaceae,12
cellular organisms@Bacteria@Firmicutes@Negativicutes@Selenomonadales@Selenomonadaceae@Selenomonas@Selenomonas flueggei,1
cellular organisms@Bacteria@Actinobacteria@Actinobacteria@Bifidobacteriales@Bifidobacteriaceae@Bifidobacterium@Bifidobacterium pseudocatenulatum,50
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Butyricicoccus,1
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodospirillales,1
cellular organisms@Bacteria@Chloroflexi@Anaerolineae@Anaerolineales@Anaerolineaceae@Levilinea,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Anaerotruncus@Anaerotruncus colihominis,1
cellular organisms@Bacteria@Firmicutes@Negativicutes@Selenomonadales@Selenomonadaceae,3
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Clostridiaceae@Clostridium,808
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Ruminococcaceae@Ruminiclostridium,2
cellular organisms@Eukaryota@Arthropoda@Branchiopoda@Diplostraca@Daphniidae,1
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales@Coriobacteriaceae@Collinsella@Collinsella stercoris,1
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Prevotellaceae,6
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Eubacteriaceae@Eubacterium@[Eubacterium] hallii,74
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia,220
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Lactobacillaceae@Lactobacillus@Lactobacillus hominis,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptostreptococcaceae@Terrisporobacter@Terrisporobacter othiniensis,1
cellular organisms@Bacteria@Chloroflexi@Anaerolineae@Anaerolineales,1
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales@Rhodobacteraceae@Pannonibacter,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptococcaceae@Desulfitobacterium,1
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Eggerthellales@Eggerthellaceae@Adlercreutzia,5
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Oscillospiraceae,1
cellular organisms@Bacteria@Firmicutes@Bacilli@Lactobacillales@Streptococcaceae,69
cellular organisms@Bacteria@Fusobacteria@Fusobacteriia@Fusobacteriales@Fusobacteriaceae@Fusobacterium@Fusobacterium nucleatum,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Anaerostipes,7
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Porphyromonadaceae@Parabacteroides@Parabacteroides johnsonii,1
cellular organisms@Eukaryota@Microsporidia,1
cellular organisms@Eukaryota@Basidiomycota@Agaricomycetes,1
cellular organisms@Bacteria@Bacteroidetes@Bacteroidia@Bacteroidales@Prevotellaceae@Prevotella,6
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodobacterales,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Catonella,2
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Peptococcaceae@Desulfitobacterium@Desulfitobacterium metallireducens,1
cellular organisms@Bacteria@Firmicutes@Negativicutes,4
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhizobiales@Methylobacteriaceae,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae,615
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Robinsoniella,1
cellular organisms@Bacteria@Chloroflexi@Anaerolineae@Anaerolineales@Anaerolineaceae,1
cellular organisms@Bacteria@Actinobacteria@Coriobacteriia@Coriobacteriales@Coriobacteriaceae,145
cellular organisms@Eukaryota@Arthropoda@Branchiopoda@Diplostraca,1
cellular organisms@Eukaryota@Arthropoda,1
cellular organisms@Bacteria@Proteobacteria@Alphaproteobacteria@Rhodospirillales@Rhodospirillaceae@Thalassospira@Thalassospira profundimaris,1
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Blautia,279
cellular organisms@Bacteria@Firmicutes@Clostridia@Clostridiales@Lachnospiraceae@Dorea,52
cellular organisms,6169
